Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=db0f936ba19582ac,DBA,,,멋진 동료를 기다립니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=381ad30b307bc03e,11번가 SK pay Back-office 및 정산 개발 분야,,,"직무 키워드Java , Spring, Spring batch , Python , Linux , Oracle담당 직무SK pay 운영 Admin 개발SK pay 가맹점 센터 개발SK pay 정산 개발개발자 지원 도구 개발자격..."
https://kr.indeed.com/viewjob?jk=563aeb6282c64984,Security Engineer,,,"C, and C++ · Experience with scripting languages... Python, Perl, or Ruby Amazon Devices designs and engineers high..."
https://kr.indeed.com/viewjob?jk=f6a00297e0429eca,2022년 3월 경력사원 (품질),,,"자동화 검증 환경 구축 경험 - Python을 이용한 Big Data 분석... Minitab, SPSS, SAS 등) or 프로그래밍 언어(R, Python, Visual Basic 등)에 대한 경험자 -6σ MBB, CRE..."
https://kr.indeed.com/viewjob?jk=9ff286e5c18f8065,[Forest CIC] NAVER Shopping Data Solution 직무별 담당자 (경력),,,"비정기적 데이터의 현황을 인사이트 있게 분석 하고 , 간결한 언어로 리포팅 경험이 많으신 분 - R/ Python, SQL 등 분석툴 활용 능력이 가능하신 분 - 데이터 모델링을 위한 수학적 , 통계적 지식이 있으신 분..."
https://kr.indeed.com/viewjob?jk=e742db63ad7e269f,프론트엔드 개발자/디자이너/기획/마케터 정직원,,"연봉 30,000,000원 - 35,000,000원",JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HDML|인터넷·IT·통신·모바일·게임>웹프로그래머>APM|인터넷...
https://kr.indeed.com/viewjob?jk=69d3cc2cca262747,Machine Learning Engineer Intern - Korea,,,"Strong algorithms and data structure skills. Fluent... least one programming language including Python, Java, and Golang."
https://kr.indeed.com/viewjob?jk=e8004f38042e7d44,NAVER Cloud 사내 플랫폼 운영,,,"Network관련 기초 지식을 보유하고 계신 분 - script ( Python, Html, javascript, Linux shell 중 1개이상... WEB/WAS, DB운영 경험 - Python, JAVA 중 하나의 프로그..."
https://kr.indeed.com/viewjob?jk=cadddc1d517bc19b,Renewable Energy Analyst,,,"other solar energy modeling tools; Experience utilizing Python, R or Matlab (or similar) for statistical analysis and data..."
https://kr.indeed.com/viewjob?jk=d4e40db6e9776da3,[대형증권사] 자산배분전략 수립/모델개발,,,통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML
https://kr.indeed.com/viewjob?jk=bbb82ba3ef01f2e6,Solutions Engineering Intern,,,"Node.js and Python. Building innovative... Python programming languages. Technology used: JavaScript, Node.js, Python GitHub..."
https://kr.indeed.com/viewjob?jk=2e46f8b2ba482821,"Customer Engineer, Data Analytics, Google Cloud",,,"writing code in a common development language... Java, Python, JavaScript, C++, Scala, R or Go. About the job..."
